1,240,,1155
2,216,,1320
3,240,,1245
4,198,,1125
5,156,,1170
6,204,,1185
7,222,,1380
8,270,,1215
9,216,,1200
10,162,,1260
11,222,,1005
12,252,,1260
13,258,,1200
14,228,,1125
15,240,,1155
16,264,,1140
17,228,,1140
18,222,,1110
19,198,,1050
20,222,,1155
21,162,,1320
22,198,,1215
23,192,,1035
24,246,,1140
25,192,,1260
26,222,,1200
27,180,,1170
28,216,,1095
29,216,,1170
30,216,,1320
31,234,,1035
32,198,,1050
33,204,,1110
34,216,,1335
35,210,,1110
36,192,,1185
37,282,,1110
38,246,,1140
39,234,,1215
40,198,,1200
41,162,,1080
42,210,,1185
43,222,,1155
44,210,,1140
45,234,,1095
46,270,,1005
47,210,,1290
48,186,,1110
49,156,,1290
50,180,,1350
51,156,,1095
52,234,,1230
53,240,,1170
54,210,,1110
55,240,,1035
56,240,,1245
57,204,,1215
58,300,,1200
59,258,,1065
60,234,,1155
61,288,,1050
62,258,,1245
63,240,,1200
64,270,,1215
65,204,,1155
66,156,,1260
67,180,,1260
68,222,,1215
69,216,,1050
70,186,,1125
71,186,,1200
72,270,,1125
73,258,,1095
74,228,,1170
75,216,,1155
76,150,,1095
77,180,,1095
78,162,,1245
79,204,,1140
80,216,,1050
81,246,,1185
82,186,,1125
83,222,,1275
84,252,,1050
85,282,,1185
86,204,,1065
87,216,,1125
88,204,,1095
89,234,,1170
90,204,,1140
91,168,,1110
92,198,,1320
93,228,,1365
94,216,,1140
95,198,,1260
96,216,,1110
97,222,,1185
98,180,,1290
99,204,,1275
100,174,,1350
101,204,,1125
102,234,,1305
103,180,,1245
104,186,,1305
105,228,,1170
106,216,,930
107,246,,1140
108,258,,1095
109,180,,1230
110,144,,1155
111,150,,1140
112,156,,1140
113,234,,1245
114,192,,1440
115,204,,1260
116,192,,1320
117,144,,1260
118,180,,1350
119,240,,990
120,198,,1365
121,168,,1200
122,192,,1260
123,198,,1185
124,228,,1245
125,216,,1155
126,228,,1035
127,204,,1215
128,198,,1275
129,186,,1410
130,174,,1245
131,246,,1095
132,186,,1170
133,162,,1155
134,240,,1230
135,246,,1065
136,150,,1170
137,192,,1410
138,204,,1320
139,144,,1140
140,168,,1440
141,168,,1230
142,144,,1275
143,204,,1380
144,204,,1155
145,138,,1260
146,192,,1695
147,186,,1230
148,186,,1395
149,192,,1305
150,216,,1095
151,210,,1230
152,192,,1275
153,198,,1230
154,222,,1170
155,234,,1125
156,168,,1260
157,162,,1245
158,132,,1455
159,180,,1095
160,138,,1245
161,204,,1290
162,150,,1185
163,180,,1215
164,192,,1005
165,198,,1125
166,186,,1125
167,210,,1245
168,186,,1110
169,276,,1185
170,228,,1260
171,180,,1155
172,246,,1155
173,210,,1080
174,198,,1200
175,192,,1290
176,180,,1155
177,246,,1170
178,252,,1245
179,198,,1230
